phrase1,phrase2,sentence1,sentence2,label,idx
sufficient material,an adequate supply,A king and one knight is not sufficient material to checkmate an opposing lone king (see Two knights endgame).,A king and one knight is not an adequate supply to checkmate an opposing lone king (see Two knights endgame).,0,233
human way,mortal process,"Compared to visual imagination, the visual memory focuses more on how machine understand, analyse and store pictures in a human way.","Compared to visual imagination, the visual memory focuses more on how machine understand, analyse and store pictures in a mortal process.",0,120
good links,great URLs,"In January 2015, Google's John Mueller said that a Penguin penalty can be removed by simply building good links.","In January 2015, Google's John Mueller said that a Penguin penalty can be removed by simply building great URLs.",1,1697
another application,a second administration,"After the initial shock, Jose was given another application of current when the prison doctor examined him.","After the initial shock, Jose was given a second administration of current when the prison doctor examined him.",1,949
corresponding range,similar breadth,"There used to be a corresponding range on the south side joined to the church, but this was demolished in 1789.","There used to be a similar breadth on the south side joined to the church, but this was demolished in 1789.",0,617
ground change,new location,"When two images are obtained at the same point but at different time, some pixels showing delayed returns reveal displacement, assuming no ground change.","When two images are obtained at the same point but at different time, some pixels showing delayed returns reveal displacement, assuming no new location.",0,1178
active counterpart,more bustling mate,"Often middle verbs have no active counterpart, such as () ""I become"" or () ""I receive"".","Often middle verbs have no more bustling mate, such as () ""I become"" or () ""I receive"".",0,307
profound drop,sharp descent,There is a profound drop in tissue oxygen consumption since the reaction of oxygen with cytochrome oxidase is blocked by the presence of cyanide.,There is a sharp descent in tissue oxygen consumption since the reaction of oxygen with cytochrome oxidase is blocked by the presence of cyanide.,0,135
highest range,top pitch,"Then probably, we can examine the histogram and choose the seed points from the highest range of it.","Then probably, we can examine the histogram and choose the seed points from the top pitch of it.",0,554
time capsule,period container,"A time capsule in the shape of a pot-still is buried in the forecourt, which is intended to be opened in 2060.","A period container in the shape of a pot-still is buried in the forecourt, which is intended to be opened in 2060.",1,1673
later piece,subsequent section,"The dissonances of the later piece are more controlled, the forward direction of the music easier to discern.","The dissonances of the subsequent section are more controlled, the forward direction of the music easier to discern.",0,583
much notice,significant warning,"He explained, ""I thought 'Wildest Dreams' would be a throwaway thing that people wouldn't really take much notice of lyrically.","He explained, ""I thought 'Wildest Dreams' would be a throwaway thing that people wouldn't really take significant warning of lyrically.",0,1640
